Month,Closing Values
1-Jul-2006,11185.68
1-Aug-2006,11381.15
1-Sep-2006,11679.07
1-Oct-2006,12080.73
1-Nov-2006,12221.93
1-Dec-2006,12463.15
1-Jan-2007,12621.69
1-Feb-2007,12268.63
1-Mar-2007,12354.35
1-Apr-2007,13062.91
1-May-2007,13627.64
1-Jun-2007,13408.62
1-Jul-2007,13211.99
1-Aug-2007,13357.74
1-Sep-2007,13895.63
1-Oct-2007,13930.01
1-Nov-2007,13371.72
1-Dec-2007,13264.82
1-Jan-2008,12650.36
1-Feb-2008,12266.39
1-Mar-2008,12262.89
1-Apr-2008,12820.13
1-May-2008,12638.32
1-Jun-2008,11350.01
1-Jul-2008,11378.02
1-Aug-2008,11543.55
1-Sep-2008,10850.66
1-Oct-2008,9325.01
1-Nov-2008,8829.04
1-Dec-2008,8776.39
1-Jan-2009,8000.86
1-Feb-2009,7062.93
1-Mar-2009,7608.92
1-Apr-2009,8168.12
1-May-2009,8500.33
1-Jun-2009,8447.00
1-Jul-2009,9171.61
1-Aug-2009,9496.28
1-Sep-2009,9712.28
1-Oct-2009,9712.73
1-Nov-2009,10344.84
1-Dec-2009,10428.05
1-Jan-2010,10067.33
1-Feb-2010,10325.26
1-Mar-2010,10856.63
1-Apr-2010,11008.61
1-May-2010,10136.63
1-Jun-2010,9774.02
1-Jul-2010,10465.94
1-Aug-2010,10014.72
1-Sep-2010,10788.05
1-Oct-2010,11118.40
1-Nov-2010,11006.02
1-Dec-2010,11577.51
1-Jan-2011,11891.93
1-Feb-2011,12226.34
1-Mar-2011,12319.73
1-Apr-2011,12810.54
1-May-2011,12569.79
1-Jun-2011,12414.34
1-Jul-2011,12143.24
1-Aug-2011,11613.53
1-Sep-2011,10913.38
1-Oct-2011,11955.01
1-Nov-2011,12045.68
1-Dec-2011,12217.56
1-Jan-2012,12632.91
1-Feb-2012,12952.07
1-Mar-2012,13212.04
1-Apr-2012,13213.63
1-May-2012,12393.45
1-Jun-2012,12880.09
1-Jul-2012,13008.68
1-Aug-2012,13090.84
1-Sep-2012,13437.13
1-Oct-2012,13096.46
1-Nov-2012,13025.58
1-Dec-2012,13104.14
1-Jan-2013,13860.58
1-Feb-2013,14054.49
1-Mar-2013,14578.54
1-Apr-2013,14839.80
1-May-2013,15115.57
1-Jun-2013,14909.60
1-Jul-2013,15499.54
1-Aug-2013,14810.31
1-Sep-2013,15129.67
1-Oct-2013,15545.75
1-Nov-2013,16086.41
1-Dec-2013,16576.66
1-Jan-2014,15698.85
1-Feb-2014,16321.71
1-Mar-2014,16457.66
1-Apr-2014,16580.84
1-May-2014,16717.17
1-Jun-2014,16826.60
1-Jul-2014,16563.30
1-Aug-2014,17098.45
1-Sep-2014,17042.90
1-Oct-2014,17390.52
1-Nov-2014,17828.24
1-Dec-2014,17823.07
1-Jan-2015,17164.95
1-Feb-2015,18132.70
1-Mar-2015,17776.12
1-Apr-2015,17840.52
1-May-2015,18010.68
1-Jun-2015,17619.51
1-Jul-2015,17689.86
1-Aug-2015,16528.03
1-Sep-2015,16284.70
1-Oct-2015,17663.54
1-Nov-2015,17719.92
1-Dec-2015,17425.03
1-Jan-2016,16466.30
1-Feb-2016,16516.50
1-Mar-2016,17685.09
1-Apr-2016,17773.64
1-May-2016,17787.20
1-Jun-2016,17929.99
1-Jul-2016,18432.24
1-Aug-2016,18400.88
1-Sep-2016,18308.15
1-Oct-2016,18142.42
1-Nov-2016,19123.58
1-Dec-2016,19762.60
1-Jan-2017,19864.09
1-Feb-2017,20812.24
1-Mar-2017,20663.22
1-Apr-2017,20940.51
1-May-2017,21008.65
1-Jun-2017,21349.63
1-Jul-2017,21891.12
1-Aug-2017,21948.10
1-Sep-2017,22405.09
1-Oct-2017,23377.24
1-Nov-2017,24272.35
1-Dec-2017,24719.22
1-Jan-2018,26149.39
1-Feb-2018,25029.20
1-Mar-2018,24103.11
1-Apr-2018,24163.15
1-May-2018,24415.84
1-Jun-2018,24271.41
1-Jul-2018,25415.19
1-Aug-2018,25964.82
1-Sep-2018,26458.31
1-Oct-2018,25115.76
1-Nov-2018,25538.46
1-Dec-2018,23327.46
1-Jan-2019,24999.67
1-Feb-2019,25916.00
1-Mar-2019,25928.68
1-Apr-2019,26592.91
1-May-2019,24815.04
